iter	Passed	Remaining
153	2362	12976
154	2374	12945
155	2388	12923
156	2403	12903
157	2416	12877
158	2430	12856
159	2444	12832
160	2455	12797
161	2470	12777
162	2482	12747
163	2496	12725
164	2509	12700
165	2524	12682
166	2537	12657
167	2550	12629
168	2563	12605
169	2579	12592
170	2591	12561
171	2604	12540
172	2617	12513
173	2631	12493
174	2647	12478
175	2661	12459
176	2672	12426
177	2684	12394
178	2697	12374
179	2710	12350
180	2725	12332
181	2737	12305
182	2752	12287
183	2765	12266
184	2779	12245
185	2792	12222
186	2805	12198
187	2819	12176
188	2831	12151
189	2845	12129
190	2858	12106
191	2871	12082
192	2883	12057
193	2896	12035
194	2909	12010
195	2922	11987
196	2937	11974
197	2950	11951
198	2963	11930
199	2977	11908
200	2989	11884
201	3001	11857
202	3015	11838
203	3030	11822
204	3044	11807
205	3058	11790
206	3073	11773
207	3085	11748
208	3100	11733
209	3113	11711
210	3126	11690
211	3139	11669
212	3152	11648
213	3165	11625
214	3179	11608
215	3193	11590
216	3207	11574
217	3221	11556
218	3233	11530
219	3245	11508
220	3260	11492
221	3273	11472
222	3287	11453
223	3301	11436
224	3313	11412
225	3327	11395
226	3340	11375
227	3354	11359
228	3369	11344
229	3382	11325
230	3395	11302
231	3409	11285
232	3423	11271
233	3437	11252
234	3452	11237
235	3468	11227
236	3481	11208
237	3498	11199
238	3512	11184
239	3530	11178
240	3546	11168
241	3561	11156
242	3575	11137
243	3588	11117
244	3600	11096
245	3613	11075
246	3627	11059
247	3640	11038
248	3653	11019
249	3666	10999
250	3679	10980
251	3691	10958
252	3704	10938
253	3718	10922
254	3732	10904
255	3744	10883
256	3757	10863
257	3769	10841
258	3783	10824
259	3796	10805
260	3808	10782
261	3819	10759
262	3833	10743
263	3848	10729
264	3859	10705
265	3874	10690
266	3888	10676
267	3903	10661
268	3917	10644
269	3932	10632
270	3948	10621
271	3960	10601
272	3975	10587
273	3989	10571
274	4003	10554
275	4018	10542
276	4032	10525
277	4046	10508
278	4059	10490
279	4073	10475
280	4087	10457
281	4101	10441
282	4114	10424
283	4126	10402
284	4140	10387
285	4153	10370
286	4169	10359
287	4184	10346
288	4201	10335
289	4218	10328
290	4234	10317
291	4250	10305
292	4265	10291
293	4278	10275
294	4295	10265
295	4309	10249
296	4322	10231
297	4335	10213
298	4350	10198
299	4364	10184
300	4378	10168
301	4393	10153
302	4404	10132
303	4417	10114
304	4430	10096
305	4446	10084
306	4460	10068
307	4474	10052
308	4487	10034
309	4499	10015
310	4512	9998
311	4527	9984
312	4539	9963
313	4552	9945
314	4565	9927
315	4579	9913
316	4592	9894
317	4604	9874
318	4618	9859
319	4631	9841
320	4645	9826
321	4659	9811
322	4674	9798
323	4686	9778
324	4699	9761
325	4711	9741
326	4724	9723
327	4738	9708
328	4751	9690
329	4764	9674
330	4780	9661
331	4793	9644
332	4806	9627
333	4820	9611
334	4833	9595
335	4844	9574
336	4857	9557
337	4868	9535
338	4880	9516
339	4892	9498
340	4905	9479
341	4917	9462
342	4929	9442
343	4941	9423
344	4955	9407
345	4969	9392
346	4982	9375
347	4996	9360
348	5009	9344
349	5023	9329
350	5037	9315
351	5051	9299
352	5063	9279
353	5075	9261
354	5088	9245
355	5100	9227
356	5112	9208
357	5126	9193
358	5138	9174
359	5151	9158
360	5164	9141
361	5177	9124
362	5188	9105
363	5203	9091
364	5215	9073
365	5228	9057
366	5239	9037
367	5254	9023
368	5267	9007
369	5280	8991
370	5294	8976
371	5307	8960
372	5322	8947
373	5335	8931
374	5349	8916
375	5362	8899
376	5376	8884
377	5388	8867
378	5402	8851
379	5415	8835
380	5427	8817
381	5440	8801
382	5454	8786
383	5467	8770
384	5478	8752
385	5491	8735
386	5505	8719
387	5518	8704
388	5532	8690
389	5543	8671
390	5556	8655
391	5568	8637
392	5581	8621
393	5595	8606
394	5608	8590
395	5623	8577
396	5637	8562
397	5649	8544
398	5663	8531
399	5674	8511
400	5687	8496
401	5702	8482
402	5716	8468
403	5730	8453
404	5742	8436
